engine,tier,prompt_idx,ttft_ms,tpot_ms,e2e_ms,per_token_ms,tokens_per_sec,requests_per_sec,peak_vram_mb,status
naive,short,0,230.51306791603565,22.188562215590963,1317.7526164799929,"[22.45221845805645, 21.942371502518654, 21.935611963272095, 22.200360894203186, 22.11351878941059, 21.98735997080803, 21.997280418872833, 21.96343243122101, 21.99104055762291, 21.89897559583187, 22.0553670078516, 21.998848766088486, 21.84525318443775, 21.982982754707336, 22.007694467902184, 21.95763774216175, 22.101035341620445, 22.04788103699684, 21.923214197158813, 21.847836673259735, 21.784989163279533, 21.82060293853283, 22.292369976639748, 22.027501836419106, 22.10553176701069, 21.894631907343864, 21.95393666625023, 22.027665749192238, 22.102024406194687, 21.992061287164688, 22.210372611880302, 22.038716822862625, 21.96504920721054, 22.02603593468666, 22.01199159026146, 21.98055386543274, 22.03412540256977, 22.0523439347744, 22.01993204653263, 21.976394578814507, 22.064032033085823, 22.003302350640297, 29.021602123975754, 22.25998044013977, 22.28238433599472, 22.25671522319317, 22.034330293536186, 22.21047133207321, 22.539976984262466]",37.94338889917062,,2014.8740234375,SUCCESS
naive,short,1,20.023532211780548,21.841123700141907,1090.238593518734,"[21.57161943614483, 21.885007619857788, 21.89955674111843, 21.839145570993423, 21.758008748292923, 21.78441919386387, 21.769355982542038, 21.62770740687847, 22.008860483765602, 21.76068350672722, 21.827124059200287, 21.778017282485962, 21.749205887317657, 21.763211116194725, 21.691912785172462, 21.8752883374691, 21.855220198631287, 21.778283640742302, 21.756405010819435, 21.716834977269173, 21.846964955329895, 21.902764216065407, 21.790090948343277, 21.73062041401863, 21.813560277223587, 21.692778915166855, 22.192029282450676, 21.792488172650337, 21.790100261569023, 21.725714206695557, 21.886026486754417, 21.81735821068287, 21.723024547100067, 21.68406918644905, 21.74627035856247, 21.820688620209694, 22.029807791113853, 21.946540102362633, 21.770499646663666, 21.86804823577404, 21.91985584795475, 21.855223923921585, 21.923435851931572, 21.943271160125732, 22.102024406194687, 22.010497748851776, 21.944686770439148, 22.266287356615067, 21.984465420246124]",45.86152086088377,,2014.876953125,SUCCESS
naive,short,2,19.830726087093353,21.80518536847465,1088.2848091423512,"[21.34973555803299, 21.703902631998062, 21.690353751182556, 21.82757668197155, 21.784787997603416, 21.66450396180153, 21.760867908596992, 21.797167137265205, 21.8014158308506, 21.760020405054092, 21.780896931886673, 21.690521389245987, 21.812889724969864, 21.75438217818737, 21.772166714072227, 21.859250962734222, 21.82943932712078, 21.70470915734768, 21.73960767686367, 21.734632551670074, 21.815070882439613, 21.793754771351814, 21.80570550262928, 21.705131977796555, 21.75295352935791, 21.8037236481905, 21.82610146701336, 21.776027977466583, 21.711265668272972, 21.667389199137688, 21.8177642673254, 21.826867014169693, 21.791299805045128, 21.74565941095352, 21.775303408503532, 21.76864631474018, 21.771330386400223, 21.784575656056404, 21.757090464234352, 21.80682122707367, 21.970365196466446, 21.882612258195877, 22.079341113567352, 21.987445652484894, 22.020047530531883, 21.95332944393158, 22.003205493092537, 22.060194984078407, 22.1762303262949]",45.94385548706105,,2014.876953125,SUCCESS
naive,medium,0,23.049725219607353,43.03452228100932,2131.741316989064,"[42.031943798065186, 44.28347013890743, 44.46490854024887, 44.57907751202583, 44.753311201930046, 43.41914504766464, 43.22792403399944, 43.27898658812046, 43.11862960457802, 42.843855917453766, 41.873883455991745, 41.98813624680042, 41.85604304075241, 41.90024174749851, 41.77009500563145, 41.484810411930084, 41.72096587717533, 41.66708514094353, 41.968390345573425, 41.69519245624542, 41.59216210246086, 41.68322868645191, 41.68931767344475, 41.77884757518768, 41.723351925611496, 41.924331337213516, 41.749823838472366, 41.73392057418823, 41.740844026207924, 41.79907217621803, 41.80294834077358, 41.947027668356895, 41.908660903573036, 41.763585060834885, 41.83118976652622, 41.89852997660637, 42.03213378787041, 41.88552498817444, 42.050519958138466, 41.92156717181206, 41.90910793840885, 41.93527437746525, 42.01980493962765, 41.92777909338474, 41.92778281867504, 42.09192283451557, 95.19130364060402, 29.08753976225853, 42.218392714858055]",23.4550034760416,,2544.5322265625,SUCCESS
naive,medium,1,20.919550210237503,41.74735917880827,2066.5401499718428,"[39.94150459766388, 41.52186028659344, 41.52079112827778, 41.563281789422035, 41.50615073740482, 41.564952582120895, 41.45476408302784, 41.543131694197655, 41.622331365942955, 41.57305508852005, 41.56686179339886, 41.499968618154526, 41.636984795331955, 41.53369180858135, 41.60702973604202, 41.75435192883015, 41.6424497961998, 41.73593968153, 41.4869599044323, 41.78483225405216, 42.07393899559975, 41.202113032341, 41.712669655680656, 41.91367328166962, 41.667088866233826, 41.74061864614487, 41.723305359482765, 41.67779162526131, 41.8861024081707, 41.77858866751194, 41.79312847554684, 41.74244776368141, 41.83010756969452, 41.73390939831734, 41.97734035551548, 41.92547686398029, 41.70713946223259, 42.18706674873829, 42.34827123582363, 42.20414161682129, 42.886363342404366, 41.91012680530548, 42.26117022335529, 41.71054624021053, 41.86926782131195, 42.02021285891533, 42.03183017671108, 42.0010332018137, 42.04423539340496]",24.195029552501683,,2544.5458984375,SUCCESS
naive,medium,2,20.90376615524292,41.700897168140024,2064.247727394104,"[40.168872103095055, 41.34080186486244, 41.51724837720394, 41.41881875693798, 41.53556935489178, 41.62016324698925, 41.494980454444885, 41.55922494828701, 41.474103927612305, 41.55486822128296, 41.55050776898861, 41.56315512955189, 41.62201285362244, 41.61982424557209, 41.663529351353645, 41.50930978357792, 41.57501272857189, 41.528986766934395, 41.67386144399643, 41.65342636406422, 41.722336784005165, 41.65874794125557, 41.599903255701065, 41.83840565383434, 41.76594689488411, 41.69173166155815, 41.59931279718876, 41.742390021681786, 41.899845004081726, 41.797664016485214, 41.72665625810623, 41.80292785167694, 41.77112877368927, 41.836999356746674, 41.83105193078518, 41.9058445841074, 41.846614331007004, 41.853345930576324, 41.907111182808876, 42.01479256153107, 41.8709646910429, 42.027547955513, 41.89630784094334, 42.04527474939823, 41.98894836008549, 41.88360087573528, 41.967619210481644, 42.14268922805786, 42.06397384405136]",24.221899017478755,,2544.5458984375,SUCCESS
naive,long,0,22.331776097416878,172.45984218102328,8472.864042967558,"[159.347016364336, 165.8757273107767, 166.08019545674324, 166.47048480808735, 166.54242761433125, 165.38196802139282, 166.32965579628944, 166.18956625461578, 165.93305580317974, 166.69056937098503, 350.178012624383, 48.203105106949806, 165.5723862349987, 166.7670924216509, 166.20494425296783, 165.9134328365326, 166.40006378293037, 166.70782305300236, 342.8169898688793, 47.80236445367336, 167.39913448691368, 165.34054279327393, 167.15873777866364, 165.5936948955059, 167.06210933625698, 165.57888314127922, 166.28913953900337, 165.79408384859562, 166.46703891456127, 167.95082949101925, 166.01153276860714, 370.86569890379906, 47.77936451137066, 167.44359582662582, 166.32915660738945, 167.5696074962616, 167.80689917504787, 167.33030043542385, 370.5360107123852, 47.98761010169983, 166.7262762784958, 167.64276660978794, 167.0723482966423, 167.21002012491226, 168.16207952797413, 166.84431582689285, 166.60331934690475, 167.29301027953625, 167.27727837860584]",5.901192294180595,,4372.63427734375,SUCCESS
naive,long,1,22.815439850091934,166.8691258421358,8199.402606114745,"[159.54719297587872, 166.5417216718197, 166.60591214895248, 166.8883990496397, 166.66555404663086, 166.9180393218994, 166.53889790177345, 166.7651254683733, 166.82429239153862, 166.67032428085804, 166.62907041609287, 167.03238897025585, 166.61958396434784, 166.73867590725422, 166.8485552072525, 167.10331290960312, 167.1896167099476, 167.3823855817318, 166.65512323379517, 167.5551626831293, 166.51359386742115, 166.53981432318687, 167.10491850972176, 167.211277410388, 167.14231669902802, 166.530042886734, 167.1119872480631, 167.2022771090269, 167.1037506312132, 167.08676144480705, 167.75807552039623, 167.05388762056828, 166.74857400357723, 166.93544760346413, 167.0190393924713, 167.09774732589722, 167.34101064503193, 167.11394116282463, 167.14579798281193, 167.2474890947342, 167.52588748931885, 167.17990674078465, 167.22970828413963, 167.27346554398537, 167.35429875552654, 167.7178256213665, 168.00086572766304, 166.49201698601246, 167.08610579371452]",6.098005233053473,,4372.68115234375,SUCCESS
naive,long,2,20.085681229829788,166.92821768929764,8199.568348005414,"[162.15996257960796, 166.90008528530598, 167.26751066744328, 166.65475629270077, 167.76981577277184, 166.10923409461975, 166.5503140538931, 166.68418049812317, 166.7928621172905, 166.5553655475378, 166.92736372351646, 166.92405566573143, 166.57068952918053, 167.18597896397114, 166.86907596886158, 166.90699569880962, 166.9951267540455, 166.77550598978996, 167.2922447323799, 166.94859229028225, 167.07090847194195, 167.14139841496944, 167.02879592776299, 167.2284621745348, 166.9838186353445, 166.86914674937725, 167.29688458144665, 166.4114072918892, 167.22646914422512, 167.03391633927822, 167.26531460881233, 166.96970723569393, 167.03848727047443, 167.66737028956413, 166.5696334093809, 167.29175858199596, 167.1617291867733, 167.44153387844563, 166.96622781455517, 167.58024878799915, 166.6717268526554, 167.38049313426018, 166.9451128691435, 167.07486286759377, 167.2189123928547, 167.4784366041422, 167.00044460594654, 167.51791536808014, 167.11182706058025]",6.097881971087265,,4372.68115234375,SUCCESS
kv_cache,short,0,20.375391468405724,20.657869131893527,1032.6109789311886,"[82.62387663125992, 19.471991807222366, 19.409768283367157, 19.37762275338173, 19.42790485918522, 19.367337226867676, 19.165029749274254, 19.156182184815407, 19.44637857377529, 19.442761316895485, 19.526954740285873, 19.629882648587227, 19.406083971261978, 19.366607069969177, 19.344914704561234, 19.573356956243515, 19.639354199171066, 19.31213214993477, 19.24433559179306, 19.242269918322563, 19.497690722346306, 19.363828003406525, 19.22372169792652, 19.28607001900673, 19.213393330574036, 19.51812021434307, 19.444433972239494, 19.238004460930824, 19.26581934094429, 19.443616271018982, 19.462857395410538, 19.470995292067528, 19.292619079351425, 19.23944056034088, 19.47343908250332, 19.616417586803436, 19.449299201369286, 19.383728504180908, 19.296519458293915, 19.36488039791584, 19.411947578191757, 19.285308197140694, 19.22088861465454, 19.37362737953663, 19.3526279181242, 19.205152988433838, 19.25574243068695, 19.22294870018959, 19.187703728675842]",48.42094556437203,,1947.43310546875,SUCCESS
