engine,tier,prompt_idx,ttft_ms,tpot_ms,e2e_ms,per_token_ms,tokens_per_sec,requests_per_sec,peak_vram_mb,acceptance_rate,status
int8,short,0,261.11127249896526,112.75251935787347,5785.984721034765,"[153.8928933441639, 112.90065944194794, 114.56295102834702, 113.16160298883915, 112.19452507793903, 113.40882815420628, 113.53915184736252, 113.91876451671124, 114.51046913862228, 116.30562506616116, 115.00723659992218, 114.7850826382637, 115.10731093585491, 116.13257229328156, 112.19786666333675, 115.13864807784557, 116.0601731389761, 112.56094463169575, 113.04975487291813, 113.29396814107895, 114.97883126139641, 118.83792467415333, 156.62349201738834, 112.79882863163948, 105.36014661192894, 107.27113299071789, 107.07894898951054, 112.09635809063911, 105.80082982778549, 145.29691077768803, 103.99173572659492, 107.2513721883297, 105.42422719299793, 105.16468808054924, 107.32125863432884, 107.00520686805248, 108.42833667993546, 108.06707851588726, 102.72097960114479, 107.21486061811447, 104.12660799920559, 104.08717207610607, 104.4592335820198, 108.08124020695686, 108.038030564785, 109.0321633964777, 109.10619422793388, 102.3263931274414, 105.1542367786169]",8.641571385113854,,1752.37353515625,,SUCCESS
int8,short,1,122.48857319355011,106.1350615048895,5323.106586933136,"[106.3099205493927, 102.95982286334038, 102.81355120241642, 102.62918844819069, 102.80445590615273, 106.67159967124462, 108.44511166214943, 106.14956356585026, 108.35632868111134, 109.09572057425976, 107.01191239058971, 108.0426424741745, 107.97436907887459, 107.09484666585922, 103.1351126730442, 103.32474485039711, 101.97178274393082, 102.93903574347496, 105.0422415137291, 106.16073943674564, 105.03709875047207, 107.7866367995739, 108.00960846245289, 107.55274817347527, 107.40186460316181, 107.21071995794773, 108.04342292249203, 103.75701263546944, 105.13295605778694, 108.64402912557125, 107.95028693974018, 107.07209073007107, 107.06179216504097, 107.43854939937592, 108.59585925936699, 102.64269262552261, 106.41433112323284, 105.54066114127636, 105.9783510863781, 104.89922016859055, 108.12034830451012, 102.87235118448734, 108.40297676622868, 105.74623942375183, 108.60145650804043, 102.66603156924248, 107.1348525583744, 107.2129737585783, 108.75816084444523]",9.393011239477564,,1752.224609375,,SUCCESS
int8,short,2,122.41069972515106,106.83979002796873,5357.560411095619,"[107.67273791134357, 105.59419728815556, 107.34060034155846, 105.86700402200222, 108.32061618566513, 104.47333753108978, 109.99043099582195, 107.69849643111229, 107.663718983531, 106.17443174123764, 108.18677209317684, 103.99086773395538, 105.28041608631611, 107.06298239529133, 105.18199391663074, 107.11630433797836, 106.20345920324326, 105.30542023479939, 107.36135952174664, 106.75197653472424, 108.38242061436176, 105.14725185930729, 105.78104853630066, 108.12271200120449, 108.12618769705296, 108.37776400148869, 104.88304309546947, 109.22486521303654, 107.26980678737164, 108.57143253087997, 106.70748911798, 107.41132125258446, 106.80975764989853, 103.07234339416027, 105.90781643986702, 108.55560190975666, 107.49607346951962, 105.63863627612591, 104.669239372015, 106.22051358222961, 108.46289061009884, 106.07568919658661, 108.70425961911678, 108.56338404119015, 109.95674133300781, 106.03763908147812, 108.63100737333298, 103.9499081671238, 105.15574365854263]",9.332605918255062,,1752.28564453125,,SUCCESS
int8,medium,0,182.04275332391262,107.52369934807018,5450.704021379352,"[116.78778752684593, 107.67814889550209, 105.71571253240108, 107.53348283469677, 108.14772918820381, 108.80495980381966, 107.69315995275974, 106.00734688341618, 102.16551646590233, 106.4358800649643, 108.56813192367554, 108.46424661576748, 107.97637514770031, 107.59392566978931, 108.69456268846989, 110.48782244324684, 108.83214324712753, 107.60058090090752, 108.74918662011623, 108.87631215155125, 108.801931142807, 108.21506939828396, 107.61809907853603, 107.75083675980568, 109.51236076653004, 108.91675390303135, 108.82602445781231, 108.51470194756985, 107.89459198713303, 107.42694139480591, 108.56832377612591, 105.0685215741396, 103.18229719996452, 106.42616264522076, 109.19818840920925, 104.13357615470886, 107.65191167593002, 107.23381489515305, 107.12680593132973, 102.21095196902752, 106.39374330639839, 108.69244858622551, 107.13117942214012, 107.93928056955338, 107.68546164035797, 105.0275694578886, 108.56527648866177, 107.15777054429054, 102.97766141593456]",9.17312695825796,,2037.84033203125,,SUCCESS
int8,medium,1,180.19600957632065,107.88974150711176,5466.793343424797,"[122.6622685790062, 107.88577236235142, 105.68505898118019, 107.95640386641026, 109.26617123186588, 107.72908665239811, 107.56593756377697, 108.24872739613056, 107.56239108741283, 109.04639400541782, 110.41710712015629, 107.97174833714962, 105.56248016655445, 105.37399165332317, 107.09354467689991, 108.66754688322544, 107.04039223492146, 108.95602777600288, 107.87913203239441, 106.63249343633652, 108.08568261563778, 107.7494565397501, 109.205087646842, 106.78036697208881, 105.42279668152332, 106.70055449008942, 109.27955619990826, 107.2468962520361, 109.57041382789612, 105.46021908521652, 106.27028532326221, 107.33817890286446, 111.61402426660061, 109.08836126327515, 108.55461284518242, 107.5675431638956, 106.7306399345398, 109.07730087637901, 108.4283348172903, 104.3668631464243, 105.5474579334259, 108.80021005868912, 106.32138513028622, 107.88174718618393, 105.74154742062092, 107.1876510977745, 105.90525344014168, 106.97671584784985, 108.49551483988762]",9.146129524017523,,2037.853515625,,SUCCESS
int8,medium,2,180.41039258241653,107.52602267478194,5449.185503646731,"[121.13615497946739, 109.27382111549377, 108.95607620477676, 103.77683490514755, 107.26738907396793, 108.6866743862629, 105.46838864684105, 107.78762400150299, 105.5313441902399, 106.76434822380543, 107.10294730961323, 107.90872387588024, 108.27655531466007, 108.26967656612396, 104.32608798146248, 105.45248165726662, 108.89588482677937, 108.2939188927412, 107.19124414026737, 105.98469153046608, 109.68031920492649, 105.88172823190689, 106.85322806239128, 105.58981820940971, 106.26121051609516, 107.70105570554733, 107.06399567425251, 108.48386026918888, 106.54825903475285, 108.31280797719955, 107.73691721260548, 105.28247244656086, 106.30804859101772, 108.05644653737545, 107.56162367761135, 109.0078167617321, 104.82087545096874, 108.15729573369026, 105.71311973035336, 108.32955501973629, 105.53004592657089, 108.69201086461544, 107.48969949781895, 107.6325848698616, 106.42939247190952, 108.21141675114632, 108.61386358737946, 107.75977373123169, 108.7150014936924]",9.17568322211434,,2037.85498046875,,SUCCESS
int8,long,0,527.8575364500284,108.2175107558771,5830.515563488007,"[160.5932954698801, 108.8627465069294, 108.98490995168686, 109.74579490721226, 107.88739658892155, 109.31085981428623, 109.16875675320625, 108.72204042971134, 107.13396221399307, 108.53367485105991, 109.01718214154243, 108.2356609404087, 108.16253907978535, 107.76274092495441, 108.3476934581995, 102.94207744300365, 106.62754811346531, 106.3883975148201, 109.43745076656342, 107.30747878551483, 104.28210906684399, 105.37255182862282, 108.01628604531288, 104.59008626639843, 107.04770311713219, 107.92241245508194, 107.42154717445374, 107.61525668203831, 103.1752172857523, 106.45710490643978, 106.88558220863342, 108.46628434956074, 106.95893876254559, 104.53610308468342, 105.33146746456623, 106.74137063324451, 109.11931470036507, 105.6875679641962, 106.07114061713219, 108.57065208256245, 104.46172766387463, 104.49608787894249, 107.14670829474926, 103.88675518333912, 108.30760560929775, 107.6001338660717, 107.32321254909039, 107.72159695625305, 108.27329568564892]",8.575570968905597,,3023.638671875,,SUCCESS
int8,long,1,529.9619249999523,108.83391169565064,5862.823598086834,"[160.89408099651337, 108.48639160394669, 109.10926386713982, 107.71723836660385, 108.60554128885269, 106.83356411755085, 108.82732085883617, 109.70595106482506, 104.48485240340233, 108.99956338107586, 109.64984633028507, 108.65951143205166, 108.73526521027088, 108.60233940184116, 108.792744576931, 105.14986887574196, 108.69204066693783, 107.74285532534122, 107.56512358784676, 109.211890026927, 104.5781560242176, 108.38756151497364, 106.51904530823231, 105.41717894375324, 108.68228040635586, 108.41098800301552, 108.34336094558239, 109.70573872327805, 107.81464911997318, 108.05413499474525, 106.8691797554493, 109.07152481377125, 104.09455373883247, 106.10527358949184, 105.7945117354393, 107.79786482453346, 109.14271697402, 108.34286734461784, 105.03535345196724, 108.08813199400902, 109.26954448223114, 105.65697774291039, 108.05577971041203, 107.17342235147953, 107.4787825345993, 106.51241801679134, 109.33251865208149, 109.01874676346779, 107.64315724372864]",8.528313902590568,,3023.71630859375,,SUCCESS
int8,long,2,529.286727309227,107.52415109653862,5797.970131039619,"[157.2214886546135, 104.42980006337166, 103.86243090033531, 103.21126878261566, 105.316998437047, 104.37378659844398, 103.39491441845894, 101.53612494468689, 103.23607176542282, 103.97674702107906, 104.35605980455875, 104.60993647575378, 105.40659353137016, 106.80109821259975, 106.96045681834221, 105.91327585279942, 106.72774538397789, 108.41505415737629, 109.02497172355652, 110.22490076720715, 109.15625654160976, 109.3230377882719, 106.86874203383923, 107.05241374671459, 105.74072599411011, 110.69528758525848, 106.93360306322575, 105.41314259171486, 105.50323128700256, 109.4186119735241, 108.68210159242153, 105.5596973747015, 107.57608897984028, 105.72165064513683, 108.44982787966728, 108.05236175656319, 105.02518713474274, 106.32176324725151, 109.07408408820629, 108.08693431317806, 103.74592989683151, 105.06338067352772, 109.98175106942654, 107.66719095408916, 108.03856700658798, 106.12303949892521, 107.11880400776863, 107.57477395236492, 105.71549274027348]",8.623707758051976,,3023.71630859375,,SUCCESS
