engine,tier,prompt_idx,ttft_ms,tpot_ms,e2e_ms,per_token_ms,tokens_per_sec,requests_per_sec,peak_vram_mb,acceptance_rate,status
fp16,short,0,231.73817992210388,22.925677576235362,1355.0963811576366,"[83.26718956232071, 21.628541871905327, 21.429356187582016, 21.796124055981636, 21.86782844364643, 21.49389497935772, 21.491345018148422, 21.463699638843536, 21.774297580122948, 22.12258242070675, 21.41481637954712, 21.388579159975052, 21.629203110933304, 21.670585498213768, 21.767284721136093, 21.46216295659542, 21.53025195002556, 21.48156426846981, 22.34186790883541, 21.659620106220245, 21.36397548019886, 21.435143426060677, 21.821005269885063, 21.79732732474804, 21.988093852996826, 21.57020941376686, 21.47313393652439, 22.258976474404335, 21.518565714359283, 21.449360996484756, 21.63996733725071, 21.779194474220276, 21.834779530763626, 21.420110017061234, 21.412532776594162, 21.421024575829506, 22.0029279589653, 21.57718315720558, 21.37058600783348, 21.47071436047554, 22.09005132317543, 21.744074299931526, 21.74256183207035, 21.32183685898781, 21.78266830742359, 21.34033851325512, 21.341562271118164, 22.2623348236084, 22.447165101766586]",36.897744466918155,,2995.2783203125,,SUCCESS
fp16,short,1,21.28424122929573,21.730302776000936,1086.0690772533417,"[21.92300371825695, 21.718982607126236, 22.113559767603874, 21.452905610203743, 21.378863602876663, 21.47868275642395, 21.996401250362396, 22.75281958281994, 21.6593686491251, 21.45778015255928, 21.83193899691105, 21.388603374361992, 21.432772278785706, 22.22711406648159, 22.019162774086, 21.522140130400658, 21.409517154097557, 21.36274054646492, 21.336132660508156, 22.919515147805214, 21.989047527313232, 21.31238393485546, 21.35545387864113, 21.76136150956154, 21.323764696717262, 22.566186264157295, 21.878506988286972, 21.604496985673904, 21.93964086472988, 21.398458629846573, 21.416785195469856, 21.539876237511635, 22.140230983495712, 21.667132154107094, 21.392319351434708, 21.470673382282257, 21.44690603017807, 22.35422469675541, 21.670326590538025, 21.578755229711533, 21.528687328100204, 21.762698888778687, 21.637964993715286, 21.40985243022442, 21.387582644820213, 23.175837472081184, 21.661417558789253, 21.72178588807583, 21.31047286093235]",46.037587338780995,,2995.28125,,SUCCESS
fp16,short,2,21.51905559003353,22.536424387778556,1125.8038505911827,"[22.065604105591774, 21.80933579802513, 22.514374926686287, 21.430402994155884, 21.37606218457222, 21.863538771867752, 21.47676609456539, 21.33973501622677, 21.453987807035446, 22.674117237329483, 21.3319119066, 21.76092378795147, 21.360544487833977, 22.96615205705166, 21.357646211981773, 21.32832072675228, 22.620828822255135, 22.01322838664055, 21.30277454853058, 21.39917202293873, 21.31611853837967, 21.416865289211273, 23.83354865014553, 23.952802643179893, 21.590862423181534, 21.369362249970436, 21.639304235577583, 22.85054698586464, 21.29770629107952, 21.456167101860046, 21.400688216090202, 23.27139861881733, 23.42819981276989, 25.85253119468689, 24.982154369354248, 46.38824798166752, 21.69787883758545, 21.523861214518547, 22.175151854753494, 21.980740129947662, 21.757040172815323, 21.569419652223587, 21.457083523273468, 21.446816623210907, 22.59116619825363, 22.31200411915779, 21.450474858283997, 21.463001146912575, 21.368224173784256]",44.41271005934468,,2995.28125,,SUCCESS
fp16,medium,0,100.95102712512016,22.48090220501228,1202.515235170722,"[34.96148809790611, 21.457402035593987, 21.445268765091896, 21.359508857131004, 21.507197991013527, 21.820679306983948, 21.430309861898422, 21.412940695881844, 21.48657850921154, 21.44644595682621, 21.52668498456478, 21.483058109879494, 22.212520241737366, 21.30143716931343, 21.492760628461838, 21.35693095624447, 21.33074775338173, 21.41210436820984, 21.403780207037926, 24.023888632655144, 21.53640426695347, 21.429279819130898, 21.35113999247551, 21.33401483297348, 21.326344460248947, 21.344460546970367, 21.330514922738075, 21.325528621673584, 24.168362841010094, 24.66418966650963, 24.121403694152832, 46.787647530436516, 21.77301235496998, 21.468721330165863, 21.464785560965538, 21.495385095477104, 21.341614425182343, 21.444596350193024, 21.41794003546238, 21.441487595438957, 21.419992670416832, 21.433761343359947, 21.332094445824623, 21.404601633548737, 21.609287708997726, 21.56323380768299, 21.430080756545067, 21.462509408593178, 21.470079198479652]",41.57951478502596,,3281.1630859375,,SUCCESS
fp16,medium,1,21.926404908299446,23.259748951817045,1161.6541035473347,"[112.30521462857723, 21.391931921243668, 21.36295661330223, 21.351320669054985, 21.33256569504738, 21.673932671546936, 21.407349035143852, 21.37303166091442, 21.480046212673187, 21.48670144379139, 21.42425999045372, 21.375108510255814, 21.418867632746696, 21.36572077870369, 21.396206691861153, 21.353809162974358, 21.412257105112076, 21.36153355240822, 21.39873057603836, 21.337654441595078, 21.36838436126709, 21.835019811987877, 21.40345424413681, 21.379122510552406, 21.409962326288223, 21.36838622391224, 21.390654146671295, 21.328208968043327, 21.35106362402439, 21.297955885529518, 21.376850083470345, 21.350793540477753, 21.30918763577938, 21.427057683467865, 21.495066583156586, 21.406376734375954, 21.401166915893555, 21.414900198578835, 21.372176706790924, 21.3747750967741, 21.406251937150955, 21.42353728413582, 21.332358941435814, 21.38529159128666, 21.345477551221848, 21.478906273841858, 21.426957100629807, 21.41249179840088, 21.44666388630867]",43.04207237534423,,3281.1767578125,,SUCCESS
fp16,medium,2,21.95671573281288,23.33965243733659,1165.5996851623058,"[112.2869923710823, 21.384095773100853, 21.450411528348923, 21.529288962483406, 21.400127559900284, 21.49955928325653, 21.72601968050003, 21.575186401605606, 21.433746442198753, 21.524500101804733, 21.471375599503517, 21.496998146176338, 21.501069888472557, 21.415695548057556, 21.437596529722214, 21.469881758093834, 21.448979154229164, 21.492987871170044, 21.769685670733452, 21.500982344150543, 21.49004302918911, 21.483996883034706, 21.416310220956802, 21.470097824931145, 21.490711718797684, 21.48263342678547, 21.51266671717167, 21.519502624869347, 21.4220080524683, 21.50861546397209, 21.513836458325386, 21.48125320672989, 21.479012444615364, 21.462582051753998, 21.419988945126534, 21.443665027618408, 21.456219255924225, 21.434849128127098, 21.464679390192032, 21.446524187922478, 21.47318795323372, 21.431250497698784, 21.401384845376015, 21.38691209256649, 21.638333797454834, 21.527405828237534, 21.496638655662537, 21.51687443256378, 21.556604653596878]",42.89637397511623,,3281.1767578125,,SUCCESS
fp16,long,0,89.44531716406345,28.883929269350304,1504.7578513622284,"[387.23259419202805, 21.512320265173912, 21.413659676909447, 21.402083337306976, 21.365925669670105, 21.42513170838356, 21.433839574456215, 21.509680896997452, 21.401476114988327, 21.371489390730858, 21.404968574643135, 21.37371338903904, 21.34421095252037, 21.393144503235817, 21.398169919848442, 21.383650600910187, 21.287143230438232, 21.44286409020424, 21.38909511268139, 21.359369158744812, 21.62107639014721, 21.391481161117554, 21.403513848781586, 21.395692601799965, 21.628301590681076, 21.37160673737526, 21.57423458993435, 21.463442593812943, 21.387558430433273, 21.36807143688202, 21.437181159853935, 21.404027938842773, 21.342886611819267, 21.361805498600006, 21.38342335820198, 21.41922153532505, 21.412333473563194, 21.447869017720222, 21.623436361551285, 21.393731236457825, 21.43838070333004, 21.378859877586365, 21.392758935689926, 21.460233256220818, 21.43922448158264, 21.38276770710945, 21.40992321074009, 21.374331787228584, 21.360628306865692]",33.22793760785894,,4265.4501953125,,SUCCESS
fp16,long,1,89.1511868685484,28.82713497597344,1501.680800691247,"[382.51728378236294, 21.559488028287888, 21.499060094356537, 21.501880139112473, 21.68923430144787, 21.54347486793995, 21.423503756523132, 21.453814581036568, 21.46218717098236, 21.435625851154327, 21.412083879113197, 21.42241597175598, 21.446468308568, 21.48110792040825, 21.381990984082222, 21.420253440737724, 21.45358920097351, 21.485067903995514, 21.4968454092741, 21.430861204862595, 21.423811092972755, 21.450268104672432, 21.431269124150276, 21.413179114460945, 21.447356790304184, 21.483924239873886, 21.44109085202217, 21.390443667769432, 21.362124010920525, 21.436898037791252, 21.43930271267891, 21.41154371201992, 21.464716643095016, 21.494677290320396, 21.489014849066734, 21.433275192975998, 21.424509584903717, 21.44649811089039, 21.373052150011063, 21.41295187175274, 21.4381143450737, 21.479986608028412, 21.474523469805717, 21.57607115805149, 21.380845457315445, 21.502692252397537, 21.456753835082054, 21.475641056895256, 21.558841690421104]",33.29602401321521,,4265.4970703125,,SUCCESS
fp16,long,2,89.17185477912426,28.902678009198638,1505.4030772298574,"[387.55750842392445, 21.48205041885376, 21.509936079382896, 21.45025134086609, 21.436505019664764, 21.451463922858238, 21.49791643023491, 21.392356604337692, 21.552082151174545, 21.57370187342167, 21.46446332335472, 21.612616255879402, 21.643362939357758, 21.446555852890015, 21.536946296691895, 21.49501070380211, 21.632883697748184, 21.42328768968582, 21.361112594604492, 21.362006664276123, 21.819880232214928, 21.49026095867157, 21.421154960989952, 21.379532292485237, 21.36632800102234, 21.39652892947197, 21.380353718996048, 21.497998386621475, 21.484307944774628, 21.32485620677471, 21.418292075395584, 21.370327100157738, 21.29237726330757, 21.272936835885048, 21.35569043457508, 21.327083930373192, 21.338054910302162, 21.34237252175808, 21.66125550866127, 21.320229396224022, 21.348480135202408, 21.333254873752594, 21.41503244638443, 21.327460184693336, 21.361960098147392, 21.31519839167595, 21.349024027585983, 21.311376243829727, 21.32759615778923]",33.21369589067579,,4265.4970703125,,SUCCESS
