engine,tier,prompt_idx,ttft_ms,tpot_ms,e2e_ms,per_token_ms,tokens_per_sec,requests_per_sec,peak_vram_mb,status
naive,short,0,221.57194651663303,20.353800332059667,1218.9081627875566,"[20.47710306942463, 20.42524516582489, 20.587634295225143, 19.967088475823402, 20.31300775706768, 19.917352125048637, 20.079445093870163, 20.224563777446747, 20.460698753595352, 19.94839310646057, 20.044930279254913, 20.27464099228382, 20.455103367567062, 20.198369398713112, 19.96866799890995, 20.02290077507496, 20.067574456334114, 19.997457042336464, 20.515283569693565, 20.286448299884796, 19.957970827817917, 20.175132900476456, 20.255697891116142, 20.049573853611946, 20.039420574903488, 20.882926881313324, 20.268084481358528, 19.94010992348194, 20.018670707941055, 20.176103338599205, 20.13893984258175, 20.453112199902534, 20.265018567442894, 20.101917907595634, 20.10505646467209, 20.1270692050457, 20.205246284604073, 20.139135420322418, 20.659204572439194, 19.994445145130157, 20.120445638895035, 20.05486935377121, 27.18660980463028, 20.459096878767014, 20.269103348255157, 20.572636276483536, 20.112358033657074, 20.153846591711044, 20.222505554556847]",41.0203176305371,,2965.041015625,SUCCESS
naive,short,1,18.18881928920746,20.011410383241518,998.7479280680418,"[19.66397650539875, 19.824516028165817, 20.24790644645691, 20.113198086619377, 19.883129745721817, 19.767021760344505, 19.900798797607422, 20.292676985263824, 20.198339596390724, 19.85905133187771, 20.2031210064888, 19.894227385520935, 19.89930123090744, 19.861936569213867, 19.892225041985512, 19.857285544276237, 19.9132077395916, 19.867252558469772, 20.202917978167534, 20.306354388594627, 19.79818195104599, 19.849369302392006, 19.870024174451828, 19.791699945926666, 19.790276885032654, 19.766906276345253, 21.03566937148571, 19.781585782766342, 19.82739008963108, 19.83771100640297, 19.91715282201767, 19.913753494620323, 19.873397424817085, 20.0148094445467, 20.144039765000343, 20.525231957435608, 20.172400400042534, 19.968625158071518, 19.846497103571892, 19.89726722240448, 19.919244572520256, 19.87975277006626, 20.092768594622612, 20.44832333922386, 20.66510170698166, 20.0797151774168, 20.104262977838516, 20.02803236246109, 20.071472972631454]",50.06268207906975,,2965.0439453125,SUCCESS
naive,short,2,18.0885661393404,20.053570367852036,1000.7135141640902,"[19.478121772408485, 20.037975162267685, 20.28338424861431, 20.057465881109238, 19.872799515724182, 19.855057820677757, 19.849028438329697, 20.069800317287445, 19.834890961647034, 19.795428961515427, 19.838863983750343, 19.978780299425125, 20.79143561422825, 19.795332103967667, 19.90259625017643, 19.92950774729252, 19.850583747029305, 19.82814446091652, 19.83672007918358, 19.79460008442402, 19.83393169939518, 21.153751760721207, 20.02807892858982, 19.824931398034096, 19.799312576651573, 19.964689388871193, 19.87547054886818, 19.838985055685043, 19.852135330438614, 20.249417051672935, 20.31695656478405, 19.83678713440895, 19.87604796886444, 19.897183403372765, 19.8842640966177, 19.910402595996857, 19.92306113243103, 20.23390121757984, 21.172188222408295, 19.977791234850883, 19.923139363527298, 19.94895562529564, 20.09599283337593, 20.06586827337742, 20.094595849514008, 20.03888040781021, 20.679939538240433, 21.228300407528877, 20.419470965862274]",49.96434972876897,,2965.0439453125,SUCCESS
naive,medium,0,20.962955430150032,43.05826024893595,2130.8177076280117,"[41.859256103634834, 44.17230747640133, 44.754307717084885, 44.72896084189415, 44.15127821266651, 44.08295080065727, 43.88618282973766, 42.67195984721184, 42.98117011785507, 43.09573397040367, 43.19540224969387, 42.17077232897282, 41.6827704757452, 41.824571788311005, 41.88782349228859, 42.26020164787769, 40.8785454928875, 41.58958978950977, 41.822951287031174, 41.52907244861126, 41.92895442247391, 41.17967002093792, 41.5874645113945, 41.84582084417343, 41.422585025429726, 41.83147847652435, 41.58010147511959, 42.07376390695572, 41.239477694034576, 41.67443886399269, 41.89828410744667, 42.440637946128845, 41.013797745108604, 41.62784665822983, 41.7325459420681, 41.726719588041306, 42.57434979081154, 41.21776670217514, 90.51511064171791, 27.30451337993145, 41.6837427765131, 44.54329051077366, 40.01174680888653, 41.791465133428574, 42.138565331697464, 42.00834035873413, 42.02786087989807, 49.59077388048172, 42.41782985627651]",23.465170118029057,,3494.69921875,SUCCESS
naive,medium,1,24.478955194354057,41.86752472757077,2075.9876668453217,"[37.36450336873531, 42.22290590405464, 42.77554154396057, 43.536728248000145, 43.59305463731289, 44.198229908943176, 42.57172532379627, 42.31573082506657, 42.33621992170811, 42.99202747642994, 41.68416000902653, 41.7726244777441, 41.50803200900555, 42.06991009414196, 40.93349911272526, 41.465889662504196, 41.591743007302284, 41.77861846983433, 41.320864111185074, 41.51391051709652, 41.58841259777546, 41.69868491590023, 41.40411876142025, 41.66117124259472, 41.60312935709953, 41.76933504641056, 41.48835130035877, 41.703786700963974, 41.623739525675774, 41.87345504760742, 41.484784334897995, 41.6824147105217, 41.902096942067146, 41.78551584482193, 41.57252795994282, 41.698671877384186, 41.73668101429939, 41.819145902991295, 43.15784201025963, 40.4394306242466, 41.8697576969862, 41.77231900393963, 41.84337705373764, 42.59525425732136, 41.16319306194782, 41.85466840863228, 41.831400245428085, 41.95077531039715, 43.38875226676464]",24.084921504365283,,3494.712890625,SUCCESS
naive,medium,2,18.926415592432022,41.654547258299225,2059.999231249094,"[39.91035744547844, 41.335366666316986, 42.160430923104286, 40.58937355875969, 41.41930863261223, 41.45665466785431, 41.338514536619186, 41.766829788684845, 41.360802948474884, 41.35273024439812, 41.48110747337341, 41.38492792844772, 41.53117351233959, 41.558483615517616, 41.46985337138176, 41.445981711149216, 41.59127548336983, 41.59742034971714, 42.6084790378809, 40.40399752557278, 41.656551882624626, 41.57889075577259, 41.63120500743389, 41.63716733455658, 42.45126061141491, 40.92579334974289, 41.60832054913044, 41.65631718933582, 41.65472462773323, 41.79950803518295, 41.648659855127335, 41.74143075942993, 41.695334017276764, 41.725512593984604, 41.65803641080856, 42.12632775306702, 41.43708199262619, 41.7944211512804, 41.76937974989414, 41.762134060263634, 41.80155321955681, 43.48158463835716, 40.42411968111992, 41.53571277856827, 41.86105541884899, 41.83185659348965, 41.8354868888855, 42.216723784804344, 44.3635955452919]",24.271853717965794,,3494.712890625,SUCCESS
naive,long,0,21.573316305875778,173.52962607935984,8524.524994194508,"[158.33483263850212, 165.37187062203884, 165.56153818964958, 324.26820509135723, 45.489976182579994, 165.36744125187397, 165.5155960470438, 165.54074361920357, 165.690740570426, 166.33282229304314, 346.7295654118061, 60.928091406822205, 152.65486761927605, 166.42997227609158, 166.58280603587627, 166.3951613008976, 166.5475219488144, 347.4870305508375, 59.86670404672623, 153.37473712861538, 166.45489819347858, 166.62663221359253, 166.6723247617483, 166.7452286928892, 321.72877341508865, 56.18135817348957, 156.1182551085949, 166.84876941144466, 166.5454152971506, 167.06961207091808, 166.78810864686966, 320.38202323019505, 51.31988227367401, 161.0136777162552, 166.6788849979639, 166.97851568460464, 166.8670680373907, 349.55880604684353, 60.74504368007183, 152.9896855354309, 166.84356331825256, 166.7303368449211, 167.3077903687954, 166.70767590403557, 348.90488535165787, 60.73489785194397, 153.1399004161358, 166.85396991670132, 166.94547049701214]",5.865429456075465,,5322.80126953125,SUCCESS
naive,long,1,20.18582448363304,166.56870250495112,8182.052247226238,"[160.21071188151836, 166.28646291792393, 166.3751769810915, 166.25607758760452, 166.63816384971142, 166.31958074867725, 167.0659091323614, 166.40950180590153, 166.5635909885168, 166.53442196547985, 166.51521064341068, 166.54660180211067, 166.6358057409525, 166.34581424295902, 166.64055734872818, 166.48062504827976, 166.66229628026485, 166.44537448883057, 167.18385741114616, 166.30996018648148, 166.49489104747772, 166.85066185891628, 166.39384254813194, 166.50537215173244, 166.743790730834, 166.63926653563976, 166.69737547636032, 166.721623390913, 166.78917780518532, 166.7900364845991, 166.760865598917, 166.53755120933056, 166.84436984360218, 167.05418191850185, 166.62468574941158, 166.81671142578125, 167.2262493520975, 166.41918756067753, 166.85552336275578, 166.88504815101624, 166.96397215127945, 166.676240041852, 167.20441728830338, 166.6469592601061, 167.06902161240578, 167.03600622713566, 166.79048165678978, 167.03551448881626, 167.36769676208496]",6.110936289480464,,5322.84814453125,SUCCESS
naive,long,2,18.0060975253582,166.57331669513061,8180.098615586758,"[161.91224567592144, 166.18459299206734, 166.51650704443455, 166.12357087433338, 166.7270865291357, 166.09418019652367, 166.5499433875084, 166.27403534948826, 166.48842208087444, 166.7388491332531, 166.63101688027382, 166.25290364027023, 166.57996736466885, 166.70284792780876, 166.97228886187077, 166.46377183496952, 166.83683916926384, 166.5927655994892, 166.64373129606247, 166.77982546389103, 166.46339744329453, 166.42466932535172, 166.56368970870972, 166.68975539505482, 166.68069548904896, 166.80541448295116, 166.59022867679596, 166.66292771697044, 166.89876839518547, 166.59924015402794, 166.77959635853767, 166.65768064558506, 166.60718992352486, 166.83049499988556, 166.82237572968006, 166.50297679007053, 166.84674471616745, 166.90274141728878, 166.9380459934473, 166.8581236153841, 167.0068185776472, 166.87644831836224, 166.9076904654503, 166.95114970207214, 166.91917926073074, 166.60442389547825, 166.97922721505165, 166.81058891117573, 166.84684343636036]",6.11239574847271,,5322.84814453125,SUCCESS
kv_cache,short,0,18.302710726857185,18.66581465820877,932.9276289790869,"[78.25817354023457, 17.537429928779602, 17.490146681666374, 17.486615106463432, 17.48146116733551, 17.41611585021019, 17.42671988904476, 17.458336427807808, 17.46055670082569, 17.429770901799202, 17.379233613610268, 17.334194853901863, 17.40274764597416, 17.383310943841934, 17.356522381305695, 17.398377880454063, 17.411809414625168, 17.480775713920593, 17.406566068530083, 17.388762906193733, 17.41352118551731, 17.426233738660812, 17.426153644919395, 17.398202791810036, 17.444340512156487, 17.574988305568695, 17.449891194701195, 17.409533262252808, 17.391299828886986, 17.440490424633026, 17.391568049788475, 17.390243709087372, 17.4180306494236, 17.40873232483864, 17.367681488394737, 17.458118498325348, 17.4641665071249, 17.41388998925686, 17.426110804080963, 17.36186258494854, 17.36665517091751, 17.38135702908039, 17.435701563954353, 17.43379794061184, 17.419084906578064, 17.369071021676064, 17.392031848430634, 17.410213127732277, 17.55431853234768]",53.59472530009167,,2897.60009765625,SUCCESS
